,Tweets
994,RT @AnHaikallll: bissmilah first media in 2021❤️ https://t.co/vxZrkyNvQP
995,"@FirstMediaCares Saya menggunakan google chrome. Yang terkena kendala laptop saya, istri, dan anak saya.  Sementara… https://t.co/bkuJw9WuQx"
996,@FirstMediaCares kami pelanggan 93130601. dr tgl 31/12/2020 jam 22.00.internet tdk berfungsi. sdh dilakukan restart… https://t.co/deCG89pz3p
997,"First media ini jauk diganti ancen, indi home lancar lancar ae lakok de e rusyak https://t.co/iEJGXeh7v0"
998,@FirstMediaCares Halo firstmedia... Nampaknya jaringan internet di rumah saya masih terjadi masalah walaupun tadi s… https://t.co/BO5ywNhQMW
999,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1000,cintaku berat di first media
1001,@RahulBedis @Palsi17 @BeingRockstar89 @Ab_hai24 @Nila_M_T @BramhaKamal @snehal_khajure @Swetashiv1 @Urvashi55655294… https://t.co/Qeri4Am49f
1002,@gabusorganik Hi First People. Terima kasih telah berlangganan First Media dan selamat tahun baru ya. ^RZA
1003,@azhar_thifal Hi First People. untuk informasi mengenai prosedur pemutusan berlangganan First Media selambat-lambat… https://t.co/9CqFVHrQNT
1004,@FirstMediaCares Iya min. Mau menonaktifkan first media dengan nomor pelanggan 11665861
1005,"@FirstMediaCares tahun baru, baru aja dimulai, first Media kok tetep masih gaya lama... Gangguan lagi?"
1006,"@FirstMediaCares Ga cuma chrome loh yang bermasalah, saya juga gabisa login ke akun epic games. Saya beli gamenya d… https://t.co/NxPwwOny31"
1007,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1008,@devitamandaa Hi First People. Terima kasih telah berlangganan First Media dan mohon maaf atas ketidaknyamanan sebelumnya ya. ^RZA
1009,ok ini first media 2021 xixi https://t.co/xMMLVrM09c
1010,"@vieri_jonathan Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1011,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1012,@firstmediacares min ini sudah ada 3 hari lebih ya internet saya bad quality terus ini gimana sih first media??saya… https://t.co/woB0DXlOXB
1013,"@azhar_thifal Hi First People, mohon sampaikan alasannya ingin berhenti berlangganan First Media agar kami bantu koordinasikan. Tks ^RQ"
1014,Susah kalo hidup byk sgt nasihat drpd media social. Apa lah yg meracuni anak2 muda skrang ni. First car msti nk Hon… https://t.co/hT2PIboDXl
1015,RT @AnHaikallll: bissmilah first media in 2021❤️ https://t.co/vxZrkyNvQP
1016,"@AnnetteAnind Hi First people, terima kasih atas informasinya dan telah berlangganan First Media. Tks ^rml"
1017,first media kenapa ini
1018,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1019,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1020,RT @AnHaikallll: bissmilah first media in 2021❤️ https://t.co/vxZrkyNvQP
1021,"udah bayar mahal2, percuma. woi first media lemot bgt parah!!... @FirstMediaCares #firstmedia 
gausah lu nawarin sa… https://t.co/mDhUJ2WI3o"
1022,RT @AnHaikallll: bissmilah first media in 2021❤️ https://t.co/vxZrkyNvQP
1023,RT @AnHaikallll: bissmilah first media in 2021❤️ https://t.co/vxZrkyNvQP
1024,bissmilah first media in 2021❤️ https://t.co/vxZrkyNvQP
1025,@FirstMediaCares min pengajuan pemutusan layanan first media bagaimana ya?
1026,Nak post first media 2021 jugak🥺 tapi mata saya sembap pulakk ni haih 😭🔫
1027,"@AjiArieff Hi  First People. Baik Pak/Bu, Terima kasih kembali telah berlangganan layanan First Media dan mohon maa… https://t.co/Z6Mq0MDSkG"
1028,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1029,RT @ainnkamado: semua nak first media 2021 aku pun nak la 🙄🙄
1030,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1031,"@vinaemon Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1032,@FirstMediaCares 38609501 mau sampe kapan sih down terus ? Bayar bulanan cepet. Layanan lama banget . Ga rekomen de… https://t.co/PqTDMduew4
1033,"First media butut bgt dari kemaren, padahal baru bayar @FirstMediaCares 😭😭😭"
1034,@auliaanugrahp Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sedang terjadi kendala jaringan di are… https://t.co/GQJvISNaFs
1035,Big Bluefin Tuna Bonanza! https://t.co/VRxQnlZNo3 RT @SanfordNews_
1036,First media 2021 . ootd berdiri takda sbb dh gelap maghrib 😏😐😀😛🌚💓🥺☝😗 https://t.co/s5uWBOOmmX
1037,RT @FirstMediaCares: @shalalalalilili Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sedang terjadi kendala jaringan di area…
1038,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1039,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1040,first Media napa si anjir ganggu banget seharian gabisa jalan
1041,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1042,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1043,@tantriaryani Hi First People. Untuk informasi mengenai prosedur pemutusan berlangganan First Media selambat-lambat… https://t.co/2RPZQvvR5K
1044,Ini lagi gangguan atau kenapa sih lemot banget first media? @FirstMediaCares
1045,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1046,"@Fahmi33043822 Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1047,"OCTO Mobile
01Jan21 17:11
Ref 01010904573177
Bayar First Media
Paycode 11191675
IDR 305,500.00
Adm IDR 0.00
SUKSES… https://t.co/G5Op9JCVui"
1048,@icqlv gnti first media aja
1049,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1050,"Koncinya: changmin confirm sendiri, di lysn.... Bukan via media, bukan via ciduk2an.....

He surely put us first 🥰🥰 https://t.co/wSxSkOOtTm"
1051,"@zonakaryaid Ini first painting yang pake media kanvas tapi, yang beneran pertama ilang fotonya hshshs ㅠㅠ https://t.co/1dm4bWNlgI"
1052,@FirstMediaCares selamat sore ini Alif first media 11085556 ini internet saya macet terima kasih
1053,1 January 2021. First time buat account twitter. Sebelum ni tak pernah tahu pon mcm mana nk guna benda ni. Aku ni a… https://t.co/yLSyCSqjwz
1054,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1055,Dr segi bisnis ada bbrp kepentingan dan SMtown live free ini bener2 kyk killing two birds (or several) with one sto… https://t.co/zVzaKyXXfc
1056,"@WahyuHartantoD Hi First people, terima kasih  telah berlangganan First Media. Tks ^rml"
1057,"@FirstMediaCares halo First Media, mau tanya, apakah saya bisa mengganti nama pelanggan dan tagihannya ke nama yang baru? Terima kasih"
1058,RT @ainnkamado: semua nak first media 2021 aku pun nak la 🙄🙄
1059,RT @ainnkamado: semua nak first media 2021 aku pun nak la 🙄🙄
1060,RT @ainnkamado: semua nak first media 2021 aku pun nak la 🙄🙄
1061,RT @ainnkamado: semua nak first media 2021 aku pun nak la 🙄🙄
1062,RT @ainnkamado: semua nak first media 2021 aku pun nak la 🙄🙄
1063,"@haebi_val Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1064,semua nak first media 2021 aku pun nak la 🙄🙄
1065,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1066,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1067,@khatonfajars Hi First People. Terimakasih atas informasinya. Terimakasih telah berlangganan First Media. Tks ^ang
1068,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1069,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1070,First media kenapa deh? 🙂
1071,first media cacad ah lg asik² streaming malah modar
1072,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1073,"@StevenL14762407 Selamat Sore First People. Baik, terima kasih utk infonya dan terima kasih telah berlangganan First Media. ^ita"
1074,@shalalalalilili Hi First People. Mohon maaf atas kendala yg dialami. Saat ini sedang terjadi kendala jaringan di a… https://t.co/cXRclFn8Uy
1075,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1076,"First day of 2021 Bawa mak dan nenek pergi Nilai Tiga. 

Peniaga dekat Nilai 3 ni dah kena set game plan main socia… https://t.co/qp6wPuLP44"
1077,"@bryanyoes Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1078,@rehaina_ Selamat sore First People. Mhn maaf atas ketidaknyamanannya. Mhn coba untuk ganti baterai lebih dulu lalu… https://t.co/A1Ss21HCbD
1079,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1080,"@Gulflope Hi First People, baik terima kasih telah berlangganan First Media dan mhn maaf atas kendalanya. Kami akan… https://t.co/T6bJUMjpGy"
1081,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1082,Apa elo tega ngasih 400 ribu perbulan ke first media secara cuma2????
1083,Sumpah ini first media ngaco banget
1084,"@IchoAhmad Hi First People, baik terima kasih telah berlangganan First Media dan mhn maaf atas kendala sebelumnya. Tks ^nlv"
1085,"@Adithimura2 Hi First People, kami cek layanan First Media di area terindikasi gangguan jaringan dan telah kami tin… https://t.co/NfDZ4TwuWD"
1086,"@sbyfess first media lancar jaya nder lapo ganti rewel e paling yo kadang"" tok"
1087,@Sowbatmisqueen_ ak jg first media ga ngadet🤔
1088,"FIRST MEDIA TOLONG LAAAAA, KOK BERMASALAH LAGI ASTAGAAAA"
1089,"@torresarya Hi First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknyamanan sblmnya. Salam. ^gkh"
1090,"@Kreisky13 Hi First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknyamanan sblmnya. Salam. ^gkh"
1091,"Hi guys! Untuk kamu yang lagi cari beasiswa, UPH bekerja sama dengan Berita Satu dan PT. Link Net, tbk (First Media… https://t.co/ULfLY7SsiX"
1092,"@FirstMediaCares ga bisa dm ya wkwk, min tolong kan saya sudah bayar dan sudah konfirmasi ke first media care , tpi… https://t.co/8gOE4IEwy5"
1093,@efiikim Wifi first media sih
1094,ADH FIRST MEDIA JANGAN NYEBELIN PLS
1095,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1096,"@mirfnrsyd.  Hi First People, terima kasih telah berlangganan First Media. Tks ^mtq"
1097,"@FirstMediaCares halo first media, diawal tahun yang baru ini, saya ingin menanyakan, untuk no pelanggan 10788491 a… https://t.co/5Sl6IuXnKP"
1098,Asli ini First Media di tahun baru bikin emosi aja @FirstMediaCares
1099,"@madmulyas Hi First People. Baik, mohon maaf atas kendalanya ya. Kami akan senantiasa membantu. Bisa kunjungi… https://t.co/FgweV6wEIj"
1100,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1101,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1102,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1103,"First media bgst btul 🙂 kuota gua dah abis gabisa pake data lagi, pake wifi lemotnya naujubilah"
1104,INI FIRST MEDIA KENAPA SIH GUE LAGI NONTON KONSER KOK MATI WIFINYA🤬🤬🔥
1105,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1106,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1107,first media kenapa ble’e bgt ampun
1108,"Mau sungkem sama first media. Cuaca hujan, sinyal stabil 😭💙. Stream 1080p di vlive lancar jaya 😭😭💙💙"
1109,@FirstMediaCares Halo first media. Mati lagi internetnya. Setiap hari loh matinya 🙂. Sampe kapan teknisi jaringan d… https://t.co/HRV3mTnn9D
1110,"Yak mulai mendung first media mulai ngadet 😭😭😭😭

Tolong ini Masih bbrp jam lagi konser #SMTOWN_LIVE nya 😭😭"
1111,"Pengujian EHP dan IHHNV pada tahapan proses persiapan master mix first PCR dan nested PCR, proses amplifikasi pada… https://t.co/k8mC3G8UQ4"
1112,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1113,"@christianmamora . HI First People. Terima kasih telah 
berlangganan layanan First Media dan mohon maaf 
atas ketid… https://t.co/lOOY5QsL7U"
1114,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1115,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1116,"aela first media, lagi asik nonton malah gangguan"
1117,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1118,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1119,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1120,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1121,YAH TAIK FIRST MEDIA
1122,nevermind. barusan search twt ternyata first media emang lagi open all channel wkwk. kok baru tahuuuuu. padahal uda… https://t.co/sCbFog9YyR
1123,"Yallah gue sayang first media ga ngadat pas gini,,,,"
1124,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1125,First media ngapasi
1126,ANJRIT FIRST MEDIA KEBIASAAN BGT KALO UJAN LEMOT😭😭
1127,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1128,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1129,@estronomin AHSHJAJ capek tiap hari misuh bc first media
1130,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1131,@77diors capek kak tiap hari misuh misuh ke first media doang😢😢😢😢
1132,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1133,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1134,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1135,"@RealYukou . Hi First People. Terima kasih telah 
berlangganan layanan First Media dan mohon maaf 
atas ketidaknyamanan sebelumnya. Tks ^6IB"
1136,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1137,first media tolong lah lu..
1138,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1139,"@Irfan_blitar  Selamat Siang First People. Terima kasih sudah melakukan pembayaran ya, akan terposting disistem kam… https://t.co/qYLmMjqZwv"
1140,"@SashaGreimas Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1141,FiRST MEDIA KNP ENIH..
1142,first media lo kenapa harus ngelag sekarang si 😩🤛🏽
1143,"@hyemiyya Hi First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknyamanan sblmnya. Salam. ^gkh"
1144,"bajingan nih first media,,,,, plis lah,,,"
1145,Demiapasih first media wkwkwk ada aja
1146,"@vviivviinn Pake first media 🤣.
Iya nih ud mulai lancar. Si taemin kan ya skrg 😬"
1147,"@Satoes5 . Hi First People. Terima kasih telah 
berlangganan layanan First Media dan mohon maaf 
atas ketidaknyamanan sebelumnya. Tks ^6IB"
1148,HHHHH UJANNNN😭😭😭 FIRST MEDIA NGADET BANGET MARAH
1149,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1150,"@KiarZidane  Selamat Pagi First People, mhn maaf atas ketidaknyamanan ya. Saat ini area sdg mengalami perbaikan jar… https://t.co/up1TyNRYtK"
1151,@FirstMediaCares Wifi first media di rumah saya tidak bisa dipakai lebih dari 2x24 jam. Sudah saya coba restart mod… https://t.co/VCfgX4rYZV
1152,@CHZHXXX FIRST MEDIA NGAJAK GELUT EMG
1153,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1154,First media kachao bgt y beb🙂
1155,first media gue kemusuhan bgt ama lu sumpah
1156,dah matiin laptop bye capek sama first media
1157,EH FIRST MEDIA BENER BENER LU YA
1158,ya Allah first media bikin nyap nyap aja 😭
1159,"Tolong first media, lg nonton konser nih aelahh!"
1160,"first media menyedihkan, dahlah ntar aja nonton pas udah keluar vodnya 😔"
1161,FIRST MEDIA ASTAGA KM NGESELIN BGT SU PAH KL UJAN
1162,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1163,first media bisa bisanya lo lemod pada saat gini
1164,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1165,AYOLAH FIRST MEDIA JGN BUFFRING
1166,first media ayola masa gua nonton konser tp kualitasny kek lg nonton bokep 3jp si anjng
1167,"gue relain beli paketdata ya anjrit

gr2 wifi first media soak alias lemot bgt🤬😡"
1168,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1169,youtube ternyata gak trouble all tapi FIRST MEDIA gw aja 😜
1170,Dimohon kejasamanya buat first media dan indihome hariini :)
1171,PLS FIRST MEDIA KAMU HARUS WARAS.
1172,"@FirstMediaCares Ya, tv cable first media berwarna merah jdnya gak bs access chanel apapun https://t.co/QzlWSPQJu5"
1173,Big Bluefin Tuna Bonanza! https://t.co/S5jlbIa4ax RT @Be_First_Media
1174,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1175,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1176,Tolong ini mah first media jangan ngelag dulu. Ini baru mau mulai:)
1177,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1178,@songupiin sumpah sebel bgt ama first media giliran konser malah begini giliran ga kepake lancar lancar aja 😑
1179,PLIS FIRST MEDIA JANGAN NGELAG
1180,first media bangs*t ini ngelag anjir https://t.co/h1QRJHxtGF
1181,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1182,"Tahun baru dan First Media bermasalah lagi 🥲 @FirstMediaCares
Tolong sarannya jangan silakan https://t.co/JknctmtRqh lagi, plis 🙏🏻🙈"
1183,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1184,@crescentmess tadi nanya temenku katanya first media nya salah server...ga paham bgt :((
1185,@astridlee_ Saran mending ganti deh hehe first media sering banget eror
1186,@fatal1tea Hi First People. Terima kasih telah berlangganan layanan First Media dan mohon maaf atas ketidaknyamanan… https://t.co/11abpmtoVr
1187,ada yang aneh ga sih sama first media...
1188,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1189,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1190,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1191,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1192,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1193,"Ciri ciri ga nnton smtown, first media msh kacauuuu"
1194,astaghfirullah first media ud bgst dritd malem 😭😭😭😭😭 SUSAH BGT JARINGANNYA NYENDAT MULU
1195,@FirstMediaCares @MegiYang Simple mas/mbak operator @FirstMediaCares respon kek org bingung. Saya lurusin. Problem… https://t.co/q9zqbkeHQh
1196,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1197,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1198,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1199,"selamat siang kawan first media, ini ping uda ngelebihin harga krupuk putih di warung. tolong di tindak lanjuti… https://t.co/Cr0iU18gNO"
1200,"@gorgpurp Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1201,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1202,"@CarolineFelyana .  Hi First People. Terima kasih telah 
berlangganan layanan First Media dan mohon maaf 
atas keti… https://t.co/fFLPRz1SaC"
1203,Siapa yang pake First Media?
1204,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1205,"@Firmanwuei Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1206,"@alviandeffa Hi First People. Baik, terima kasih ya Bapak Alvian sdh berlangganan First Media dan mhn maaf utk keti… https://t.co/VtvxRpu7fM"
1207,"@yandoang Hi First People. Baik, terima kasih ya sdh berlangganan First Media dan mhn maaf utk ketidaknyamanan sblmnya. Salam. ^gkh"
1208,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1209,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1210,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1211,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1212,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1213,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1214,@phantom22rza Saya dah tanya ke first media center rumah saya belum masuk jangkauan
1215,@FirstMediaCares hai first media.kenapa wiffi saya error?no connection? Tolong dong tahun baru masa error begini?sa… https://t.co/INOOPnE80K
1216,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1217,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1218,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1219,"@RizkyAp58954164 Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
1220,"first media lukh mention mutual gue tapi kok gue kaga di mention bener"" ya lukh gue putus silaturahmi lukh juga nih"
1221,"RT @aMaLsUy: Kenapa mainstream media tak sebut pun KENAPA Syed Saddiq kena buat crowd funding in the first place?

Sebab kerajaan PN GAGAL…"
1222,@halloxuxi WOI SAMA AKU JUGA PAKE FIRST MEDIA HSHSHS KADANG AGAK ANEH DIA
1223,"@halloxuxi Hi FIRST People, ada yang bisa kami bantu dan jika anda pelanggan First Media, Mohon info 8 digit Nomor pelanggan."
